Event,Date,Time,Address,Description
SOLAR PRACTICAL WORKSHOP,"Wed, Jun 29, 2022, 10:00 AM –","Fri, Jul 1, 2022, 5:00 PM IST","Paradise TowerRailway station, Paradise TowersNext to Mc Donalds, Gokhale Rd, opp. Hotel AlokThane, Thane West,, Maharashtra 400601 400601","This Three days program is designed for new/ existing Solar Entrepreneurs & working solar professionals who are looking for in-depth knowledge to complete their Solar EPC projects. The course will cover hands on training in completing techno-commercial proposals, different solar investment models, solar payback period calculation, Power purchase agreement, Levelized cost of energy and many more…"
Lead Generation Masterclass — Chennai ,"Sun, June 19, 2022",1:30 AM – 3:30 AM IST,"Online - Anywhere w/Fast Wifi and Sound, ChennaiChennaiChennai, Tamil Nadu 600002",Learn The Top Lead Generation Secrets To Effectively Generate Qualified Leads Everyday For Any Product Or Service
The Resume Makeover Masterclass  — Kolkata ,"Sat, Jun 18, 2022, 9:30 PM –","Sun, Jun 19, 2022, 12:30 AM IST","Online - Anywhere w/Fast Wifi and Sound, KolkataKolkataKolkata, West Bengal 700005",Get Up To 17 Interviews In As Little As 3 Weeks By Making Few Small Tweaks To Your Job Search (Even If You've Tried Everything And Still Haven't Been Able To Get A Job) 
The Job Search Accelerator Masterclass  — Mumbai ,"Wed, June 22, 2022",3:30 AM – 6:30 AM IST,"Online - Anywhere w/Fast Wifi and Sound, MumbaiMumbaiMumbai, Maharashtra 400011",Get Up To 17 Interviews In As Little As 3 Weeks By Making A Few Small Tweaks To Your Job Search (Even If You've Tried Everything And Still Haven't Been Able To Get A Job) 
Lead Generation Masterclass — Hyderabad ,"Sun, June 19, 2022",1:30 AM – 3:30 AM IST,"Online - Anywhere w/Fast Wifi and Sound, HyderabadHyderabadHyderabad, Telangana 500004",Learn The Top Lead Generation Secrets To Effectively Generate Qualified Leads Everyday For Any Product Or Service
The Resume Makeover Masterclass  — Bangalore ,"Wed, June 29, 2022",3:30 AM – 6:30 AM IST,"Online - Anywhere w/Fast Wifi and Sound, BangaloreBangaloreBangalore, Karnataka 560002",Get Up To 17 Interviews In As Little As 3 Weeks By Making Few Small Tweaks To Your Job Search (Even If You've Tried Everything And Still Haven't Been Able To Get A Job) 
The Resume Makeover Masterclass  — Mumbai ,"Sat, Jun 18, 2022, 9:30 PM –","Sun, Jun 19, 2022, 12:30 AM IST","Online - Anywhere w/Fast Wifi and Sound, MumbaiMumbaiMumbai, Maharashtra 400011",Get Up To 17 Interviews In As Little As 3 Weeks By Making Few Small Tweaks To Your Job Search (Even If You've Tried Everything And Still Haven't Been Able To Get A Job) 
5 Costly Mistakes First-Time Authors Make For Book Publishing  — Delhi ,"Sat, June 25, 2022",8:30 PM – 11:30 PM IST,"Online - Anywhere w/Fast Wifi and Sound, DelhiDelhiDelhi, North India 110003",Learn The 5 Costly Mistakes First-Time Authors Make For Publishing Their Book (and How to Avoid Them)
Study in UK - A industry expert led session on studying in UK,"Sat, June 25, 2022",1:00 PM – 2:00 PM IST,"StudyPlus ConsultantsMoosarambagh Cross roadHyderabad, Telangana 500036","""Now study, Work & Settle in UK"" "
Side Hustle Accelerator Masterclass — Kolkata ,"Sat, Jun 18, 2022, 11:30 PM –","Sun, Jun 19, 2022, 1:30 AM IST","Online - Anywhere w/Fast Wifi and Sound, KolkataKolkataKolkata, West Bengal 700005","Learn The Top Side-Hustle Secrets To Effectively Finding, Launching and Monetizing Your Side Hustle and Taking It To The Next Level"
Where from here is the Trillion Dollar Economy,"Thu, June 23, 2022",6:00 PM – 7:30 PM IST,"Madras Management AssociationPathari RoadChennai, TN 600006","Needless to point out, the Covid-19 pandemic and the attendant global lockdowns have set economies across nations and sectors, on the back foot. The more recent 'Ukraine War' has caused a steep hike in global oil prices and upset the post-Covid recovery process. "
DTC (Direct-To-Consumer) Founders Meetup in Bangalore,"Fri, June 24, 2022",6:00 PM – 8:00 PM IST,"Draper Startup House for EntrepreneursNo.384 1st A Main RoadBengaluru, KA 560095","eChai Ventures and Draper Startup House will be hosting the DTC Founders Meetup in Bangalore with DTC Founders and leaders on 24th June, Friday from 6 pm to 8 pm."
5th Annual Pharma Project & Portfolio Management Summit 2022,"Wed, Jun 22, 2022, 11:00 AM –","Fri, Jun 24, 2022, 3:00 PM IST","Radisson Blu Mumbai International AirportMarol Maroshi RoadMumbai, MH 400059","ProductDossier is a Session Partner for the 5th Annual Pharma Project and Portfolio Management Summit 2022 to be held in Mumbai, India on June 22nd, 23rd & 24th, 2022. Also do not miss as our Founder and CEO Mr. Sandeep Kumar will be speaking about Digitize and Automate the New Product Development (NPD) process for Pharmaceutical Industry (Molecule Identification->Business Case->Product Development->FDA Registration->Market Launch) on 23rd June at 11.15 am."
Marketing Strategies for Startups,"Sat, June 25, 2022",5:00 PM – 7:00 PM IST,"K-tech Innovation Hub powered by IAMAI - KEONICS7th Cross Road#1st FloorBengaluru, KA 560102","** This meetup hase been postponed by 1 week. It will now be held on 25th June, Saturday from 5 pm to 7 pm **"
"Mumbai's Big Business, Tech & Entrepreneur Professional Networking Soriee","Mon, June 27, 2022",6:00 PM – 9:00 PM IST,"Food Court - Citi MallNew Link Rd, Phase D, Shastri NagarShastri NagarAndheri West, Maharashtra 400102", MAKE SURE TO RSVP.
Free Digital Marketing Class,"Thu, June 23, 2022",11:30 AM – 2:30 PM IST,"Shastri Nagar RoadShastri Nagar RoadDelhi, DL 110052","We are giving a free offline Digital Marketing demo class on upcoming Monday (23-06-2022) from 11:30 am to 2:30 pm. For registration contact us at 9716745959, 9667389170 "
The Best Digital Marketing Training In Coimbatore,"Sat, June 25, 2022",8:00 AM – 11:00 AM IST,"AKB complex, No.318, First Floor, Nehru St, Near Senthil Kumaran Theater, Ram Nagar, Gandhipuram, Tamil Nadu 641009318,Nehru streetCoimbatore, TN 641009",We are caring about you! We developed this practical digital marketing course in reply to the industry's requirement for graduates and experienced professionals to learn the process of digital marketing and advance their careers. Spectrum's digital marketing training and certification program was created by award-winning industry specialists with over 5 years of expertise in digital marketing. Learn digital marketing to get a good start on a new career or advance in a current one.  
Internship Training In Coimbatore,"Sun, June 19, 2022",9:00 AM – 12:30 PM IST,"AKB complex, No.318, First Floor, Nehru St, Near Senthil Kumaran Theater, Ram Nagar, Gandhipuram, Tamil Nadu 641009318,Nehru streetCoimbatore, TN 641009","With more people and businesses coming online, the demand for Digital Marketing is growing by the day. Because it is simple and costeffective, both customers and businesses have turned to internet marketing and purchase. This opens the way for digital marketing, expanding its scope and increasing demand. Recognizing the demand for digital marketing job opportunities, we've created the best digital marketing internship training in Coimbatore, focusing on both digital marketing course instruction and real-world project internship.  "
Best Digital Marketing Training In Coimbatore,"Sat, June 18, 2022",7:00 PM – 10:00 PM IST,"AKB complex, No.318, First Floor, Nehru St, Near Senthil Kumaran Theater, Ram Nagar, Gandhipuram, Tamil Nadu 641009318,Nehru streetCoimbatore, TN 641009","Have you switched to a digital marketing platform so far? Do you want to take your marketing career? If any of these questions have piqued your interest, our Digital Marketing Certification Course is the solution. Our specialized modules will help you master the fundamentals of digital marketing. We cover a variety of Digital Marketing channels in our many courses, including Search Engine Optimization, Search Engine Marketing, Social Media Marketing, Content Marketing, Email Marketing, Marketing Analytics, and more.  "
Entrepreneur Guidance,"Tue, June 21, 2022",7:00 PM – 10:00 PM IST,"Connaught Placecannaught placekg margNew Delhi, DL 110001",The people who want to be a successful Entrepreneur should Join this Session.
Martech Innovation Summit 2022: Thriving Through Customer Centricity,"Thu, June 30, 2022",10:00 AM – 6:00 PM IST,"New DelhiNew DelhiNew Delhi, DL 110001",N/A
Reimagining Business  in New India,"Sat, June 25, 2022",9:30 AM – 5:00 PM IST,"Madras Management AssociationPathari RoadChennai, TN 600006",
Business Growth Consultation,"Tue, June 28, 2022",1:00 PM – 4:00 PM IST,"Nandadeep Apartments849/2 BMCC RoadPune, 411004 411004","This Event is only Organized for Business owners, Entrepreneurs, Businessman , Co-Founders and Partner. The Main Motto of this Event is to Consult Businesses to solve their Business Problem and give solutions according to problem. "
Conquer Your Fear of Public Speaking - Delhi - Zoom Free Trial Class,Online,Online,"New DelhiDelhiNew Delhi, DL 110004","Overcome public speaking fear with gradual exposure, in a supportive environment. Observe a free trial to see if it's right for you. Based out of New York City for 30 years, we are now offering these classes online to an international audience. "
Conquer Your Fear of Public Speaking -Bengaluru- Virtual Free Trial Class,Online,Online,"BengaluruBengaluruBengaluru, KA 560001","Overcome public speaking fear with gradual exposure, in a supportive environment. Observe a free trial to see if it's right for you. Based out of New York City for 30 years, we are now offering these classes online to an international audience. "
Conquer Your Fear of Public Speaking -Mumbai- Virtual Free Trial Class,Online,Online,"MumbaiMumbaiMumbai, MH 400051","Overcome public speaking fear with gradual exposure, in a supportive environment. Observe a free trial to see if it's right for you. Based out of New York City for 30 years, we are now offering these classes online to an international audience. "
Project Management Professional (PMP)® Certification Training in Hyderabad,"Sat, 18/06/2022, 9:00 AM –","Sun, 19/06/2022, 6:00 PM IST","Deccan Serai Hotel, HITEC CITY, HYDERABADHITEC CITYHYDERABADMadhapur, TG 500081",Hyderabad is turning out to be the tech capital of India with world’s largest giants setting up their bases in this location. These participants wants the best and ProThoughts PMP Certification is one of their topmost choices to do PMP Certification Training. 
FinTech Festival India - Physical Edition 2022,"Wed, Jul 20, 2022, 10:00 AM –","Fri, Jul 22, 2022, 6:00 PM IST","Pragati Maidan, New Delhi, DelhiPragati MaidanNew Delhi, Delhi 110001","Note: Filling up the form does not provide you with an actual pass for the event, it just helps us know that you are interested to attend the event. In order to buy the pass, please visit the official website of FinTech Festival India."
Note-Taking Strategies & Methods -  Mumbai,Online,Online,"(ONLINE EVENT)Mumbai, Maharashtra 400055",This is an online event. 
HOW TO IMPROVE RELATIONSHIPS WITH OTHERS,Online,Online,"Scientology, 10, Mathura Road, Jangpura-B, Near Rajdoot Hotel, Nearest Metro-Jangpura, Exit gate no.2  New Delhi-110014Scientology, 10, Mathura Road, Jangpura-B, Near Rajdoot Hotel, Nearest Metro-Jangpura, Exit gate no.2  New Delhi-110014New Delhi, New Delhi 110014", 
How To Improve Your Focus and Limit Distractions - Mumbai,Online,Online,"ONLINEMumbai, . 230532",This is an online event. 
Understanding Cryptocurrency & why does it matters?,Online,Online,"Online EventStarting at 8 PM (GMT +8)New Delhi, NCT 110091","Have you ever wonder what the world would be like if all the fiat currency no longer in use... where you could be using digital currency like Bitcoin, Ethereum or even Dogecoin?"
How To Improve Your Focus and Productivity - Bangalore,Online,Online,"ONLINEBangalore, . 530068",This is an online event. 
How To Memorize Information - Chennai,Online,Online,"(ONLINE EVENT)Chennai, Tamil Nadu 600017",This is an online event. 
Is Cryptocurrency the future of money?,Online,Online,"Online Event.Session will start at 8 PM (+8 GMT)New Delhi, New Delhi 110004","Have you ever wonder what the world would be like if all the fiat currency no longer in use... where you could be using digital currency like Bitcoin, Ethereum or even Dogecoin?"
How To Read Faster & Comprehend More- Chennai,Online,Online,"(ONLINE EVENT)Chennai, Tamil Nadu 600032",This is an online event. 
Architecture Reconnect Summit 2022- Bengaluru,"Fri, July 15, 2022",8:30 AM – 6:30 PM IST,"The Lalit AshokKumarakrupa RoadBengaluru, Bengaluru 560001","The Architecture Reconnect Summit is a gathering of renowned architects, industry entrepreneurs, and some of the most well-respected thought leaders, business executives, government officials, consultants, and policymakers all in one place. Where one may expand their knowledge by speaking face-to-face with think tanks from the architecture field and watching the most intelligent conversations on the sector's challenges, innovations, and advancements. Join the distinguished 150+ prominent Architects of Bengaluru Metropolitan Region, who are important decision-makers in their respective organizations, at ARS 2022. "
How To Read Faster & Comprehend More -  Hyderabad,Online,Online,"(ONLINE EVENT)Hyderabad, Telangana 500019",This is an online event. 
How To Read Faster & Comprehend More-Ahmedabad,Online,Online,"(ONLINE EVENT)Ahmedabad, Gujarat 380015",This is an online event. 
Develop a Successful Blockchain  Tech Startup Business Today!,Online,Online,"BangaloreVirtual WorkshopBangalore, KA","Always wanted to start an Blockchain  Startup? Now we have a complete blueprint for you start your own Blockchain Tech Startup. During our Blockchain startup program you will learn and navigate through tools, software, hardware, platforms, resources, projects, processes, methods and strategies to penetrate your own Blockchain Tech Startup into emerging markets and industries"
How To Improve Your Focus and Productivity -Surat,Online,Online,"ONLINESurat, India 395007",This is an online event. 
Develop a Successful Artificial Intelligence Startup Business,Online,Online,"BangaloreVirtual WorkshopBangalore, KA",
Develop a Successful Virtual Reality Tech Startup Business Today!,Online,Online,"HyderabadVirtual WorkshopHyderabad, Telangana",Learn to Develop a Successful  Virtual Reality VR Startup Business Today!
How To Read Faster & Comprehend More-Kolkata,Online,Online,"(ONLINE EVENT)Kolkata, West Bengal 700105",This is an online event. 
Develop a Successful Virtual Reality Tech Startup Business Today!,Online,Online,"BangaloreVirtual WorkshopBangalore, KA",Learn to Develop a Successful  Virtual Reality VR Startup Business Today!
Develop a Successful Virtual Reality Tech Startup Business Today!,Online,Online,"ChennaiVirtual WorkshopChennai, TN",Learn to Develop a Successful  Virtual Reality VR Startup Business Today!
CORE TRAINING,"Fri, Jul 8, 2022, 7:00 PM –","Sat, Jul 9, 2022, 10:00 PM IST","Rourkela Mega Recreational Park.Rourkela, OR 769014",N/A
Develop a Successful Artificial Intelligence Startup Business,Online,Online,"DelhiVirtual WorkshopDelhi, DL",
Develop Your Own Successful Virtual Reality Tech Startup Business Today!,Online,Online,"DelhiVirtual WorkshopDelhi, DL",Learn to Develop a Successful  Virtual Reality VR Startup Business Today!
Develop Your Own Successful Virtual Reality Tech Startup Business Today!,Online,Online,"BombayVirtual WorkshopBombay, MH",Learn to Develop a Successful  Virtual Reality VR Startup Business Today!
SAFe 5.1 Advanced Scrum Master Certification (In Person),"Fri, Jul 8, 2022, 9:00 AM –","Sat, Jul 9, 2022, 5:00 PM IST","BengaluruTBDBengaluru, KA 560008",SAFe® Advanced Scrum Master answers the questions:
Overcome Challenges with Getting Hired and Get a Fresh Start in 5 Days,Online,Online,"Samex LLC - Online Mentoring Classroom455, Anna SalaiChennai, TN 600018","There's a saying ""If you're not making mistakes, you're not doing anything."""
Develop a Successful Virtual Reality Tech Startup Business Today!,Online,Online,"PuneVirtual WorkshopPune, MH",Learn to Develop a Successful  Virtual Reality VR Startup Business Today!
Develop a Successful Virtual Reality Tech Startup Business Today!,Online,Online,"CalcuttaVirtual WorkshopCalcutta, WB",Learn to Develop a Successful  Virtual Reality VR Startup Business Today!
"Cyber Security Overview 1 Day Training in Anchorage, AK",Online,Online,"For venue details  reach us at info@mangates.comPH no: +1 469 666 9332Anchorage, AK 99501",Course Description:
Punjab - A World Of Opportunities,"Sat, Jul 2, 2022, 7:00 PM IST",,"Park Plaza LudhianaFerozepur RoadLudhiana, PB 141001", 
SAFe Agilist 5.0 Certification Classroom Training,"Sat, 2 Jul 2022, 09:30 –","Sun, 3 Jul 2022, 18:00 IST","Sayaji Hotel135/136, Mumbai-Bangalore Bypass HighwayWakadPimpri-Chinchwad, MH 411057",Why you should use #SAFe  
SAFe Agilist 5.0 Certification Classroom Training,"Sat, 2 Jul 2022, 09:30 –","Sun, 3 Jul 2022, 18:00 IST","Sayaji Hotel135/136, Mumbai-Bangalore By pass HighwayWakadPune, MH 411057",Why you should use #SAFe  
GCCI EduSkill Tech Expo,"Mon, July 11, 2022",10:00 AM – 7:00 PM IST,"Shri Ambica textile millsAshram RoadAhmedabad, GJ 380009","""GCCI cordially invites you to attend Exhibition on Education & Skill Sector"
PingPongX Delhi Seller Meetup 2022 Passport to Global Payment Solutions,"Fri, Jul 1, 2022, 10:00 AM IST",,"Radisson Blu Plaza Delhi AirportNh 8New Delhi, DL 110037","Grow Your International Business With PingPong Payment’s seamless solutions for your Marketplace, B2B Business, Freelancers payments & Website payments."
eChai Startup Demo Day in Mumbai,"Sat, July 16, 2022",10:00 AM – 1:30 PM IST,"DevXAndheri - Kurla RoadMumbai, MH 400065","** This meetup has been postponed by 1  month. It will now be held on 16th July, Saturday from 10 am to 1 pm. **"
HCMC Content Creator Meetup,"Sat, July 23, 2022",10:00 AM – 2:00 PM Indochina Time Vietnam Time,"Ho Chi Minh CityTBAHCMC, TP HCM 700000Viet Nam","If you are Content Creator or just starting your journey, then this event is perfect for you. We have awesome guest speakers that will share their success stories and methods to elevate your brand on different social platforms. "
Entrepreneur 2022,"Tue, Jul 26, 2022, 10:00 AM –","Wed, Jul 27, 2022, 6:00 PM IST","JW Marriott Hotel New Delhi AerocityAerocity, New DelhiNew Delhi, DL 110037",N/A
Connecting Ideas With Money @Lounge47: Investor Series.,"Fri, July 29, 2022",4:30 PM – 7:00 PM IST,"Lounge471st Cross RoadBengaluru, KA 560038",Bringing Investors and Entrepreneurs face-to-face
World Social Media Day - 2022,"Sat, July 30, 2022",4:00 PM – 6:00 PM IST,"LamakaanBanjara HillsHyderabad, TG 500034",Join us for the Social Media Day on June 30th at Lamakaan Hyderabad
Bangalore's Big Business Tech & Entrepreneur Professional Networking Soriee,"Mon, July 18, 2022",6:00 PM – 9:00 PM IST,"JW Marriott Hotel Bengaluru - Hotel Lobby1 Vittal Mallya Road#24Bengaluru, KA 560001",
Apparel Sourcing Week: India’s Premier Sourcing Show,"Fri, Jul 1, 2022, 10:00 AM –","Sat, Jul 2, 2022, 6:00 PM IST","Sheraton Grand Bengaluru Whitefield Hotel & Convention CenterSHERATON GRAND BENGALURU WHITEFIELD HOTEL& CONVENTION CENTER Prestige Shantiniketan Hoodi, WhitefieldBengaluru, KA 560048","A platform curated on the three pillars of opportunity, knowledge and inspiration, ASW 2022 invites sourcing specialists from India and around the world, offering them an opportunity to interact with top global garment manufacturers, hand-picked for their focus on creativity, quality, delivery commitments and compliance to social obligations."
